main_response_id,prolific_pid,main_start_date,main_consent,arm_n
R_3cETLxvL8FHTWKJ,5bd8d7dc196e7000013cdc2e,2-Dec-2025 14:32:43,1. Yes,1. Industry
R_3arvUbylYvmdUml,5df57703c4e1553eebffbb0b,4-Dec-2025 17:40:42,1. Yes,0. Control
R_6akkVxRdCVTPc55,5fb32c193dd553a5f10dd758,5-Dec-2025 09:42:01,1. Yes,1. Industry
R_5gnSNMJ8CwV5ppT,600e13b23c75bc67ab184745,2-Dec-2025 09:09:46,1. Yes,1. Industry
R_6iNXYsuqOuPunbW,6077db0613ce87b4a62a78f9,8-Dec-2025 18:31:03,1. Yes,0. Control
R_5n17voHTIbUm8WM,609ec5e8e5a3da020adefde8,2-Dec-2025 16:22:07,1. Yes,2. Academic
R_6O3IZEKM1kzDBCh,60e5d60060cde4e18c4c8732,2-Dec-2025 09:13:43,1. Yes,1. Industry
R_7qWc2d8oYGPP2tw,60fda57e0916dfe2157c9b00,2-Dec-2025 09:21:51,1. Yes,1. Industry
R_7JhmClCoLvCUPR1,6316289006d05033d54a350e,5-Dec-2025 10:18:03,1. Yes,0. Control
R_5CkdBaOTkVMvb7n,63e5dea962e51a42174210da,2-Dec-2025 23:31:31,1. Yes,2. Academic
R_6rJBCB1HelHt8G1,63fcf26a814570a76bcf2237,3-Dec-2025 10:05:10,1. Yes,1. Industry
R_5LXKRaXh2qDZGNI,64618e36682de88d2e369dcb,4-Dec-2025 18:08:55,1. Yes,1. Industry
R_6zuyi5hyJ4UWrFv,654bb50c72b2f304d47bfdab,2-Dec-2025 16:17:00,1. Yes,1. Industry
R_6tFGdalxT0MZVyp,65a2b63ce6c9bebdef578413,2-Dec-2025 10:20:11,1. Yes,0. Control
R_65qUADQe2IQcPN7,66520168406d304df09780c8,4-Dec-2025 03:13:50,1. Yes,1. Industry
R_5qJOK3Godg8flei,6673b90ad32a8e4dd3839ad8,2-Dec-2025 21:35:09,1. Yes,1. Industry
R_7QaQasKu8DskFAZ,66786596876079055bec6c27,2-Dec-2025 17:21:17,1. Yes,3. Personal
R_7HAr7jBrFtC0Lq9,66bb8f069b5f440e783d848e,2-Dec-2025 08:52:22,1. Yes,2. Academic
R_6Em0IOd6rWR3nql,66d9869a4e9051cdf5d16fa3,7-Dec-2025 16:49:39,1. Yes,2. Academic
R_3ccNuvBZUuWqmyV,67ddbba0fa5e1ce984f9fb87,2-Dec-2025 08:47:54,1. Yes,1. Industry
R_7Rg7ykZ1bvW3fl2,{{%PROLIFIC_PID%}},4-Dec-2025 15:15:19,1. Yes,3. Personal
