variable,value,n,pct
flu_vax_lastyear,0,4413,56.230887
flu_vax_lastyear,1,3435,43.769113
flu_vax_lastyear,.,25,.3175409627841992
prior_vaccines,1,860,10.958206
prior_vaccines,2,954,12.155963
prior_vaccines,3,977,12.449032
prior_vaccines,4,5057,64.436799
prior_vaccines,.,25,.3175409627841992
flu_vax_intent,1,2958,37.691131
flu_vax_intent,2,1506,19.189602
flu_vax_intent,3,1133,14.436799
flu_vax_intent,4,2251,28.682467
flu_vax_intent,.,25,.3175409627841992
had_prior_covid,0,1814,23.114169
had_prior_covid,1,6034,76.885831
had_prior_covid,.,25,.3175409627841992
had_prior_covid,0,1814,23.114169
had_prior_covid,1,6034,76.885831
had_prior_covid,.,25,.3175409627841992
had_prior_flu,0,1837,23.407238
had_prior_flu,1,6011,76.592762
had_prior_flu,.,25,.3175409627841992
covid_reaction,0,1814,23.114169
covid_reaction,1,2685,34.212538
covid_reaction,2,2569,32.734455
covid_reaction,3,780,9.9388379
covid_reaction,.,25,.3175409627841992
flu_reaction,0,1837,23.407238
flu_reaction,1,3484,44.393476
flu_reaction,2,2169,27.637615
flu_reaction,3,358,4.5616718
flu_reaction,.,25,.3175409627841992
cond_none,0,1719,21.834117
cond_none,1,6154,78.165883
cond_asthma,0,6864,87.184047
cond_asthma,1,1009,12.815953
cond_diabetes,0,7342,93.25543
cond_diabetes,1,531,6.74457
cond_heart,0,7650,97.167535
cond_heart,1,223,2.8324654
cond_lung,0,7771,98.704433
cond_lung,1,102,1.2955671
cond_kidney,0,7769,98.67903
cond_kidney,1,104,1.3209704
cond_rather_not_say,0,7837,99.542741
cond_rather_not_say,1,36,.45725899
has_insurance,-1,75,.95565749
has_insurance,0,859,10.945464
has_insurance,1,6914,88.098879
has_insurance,.,25,.3175409627841992
trust_govt,1,681,8.67737
trust_govt,2,1114,14.194699
trust_govt,3,1675,21.343017
trust_govt,4,3023,38.519368
trust_govt,5,1355,17.265545
trust_govt,.,25,.3175409627841992
trust_govt_prior,1,461,5.8741081
trust_govt_prior,2,780,9.9388379
trust_govt_prior,3,1223,15.583588
trust_govt_prior,4,2692,34.301733
trust_govt_prior,5,2692,34.301733
trust_govt_prior,.,25,.3175409627841992
follow_doctor,1,478,6.0907238
follow_doctor,2,730,9.3017329
follow_doctor,3,956,12.181448
follow_doctor,4,2718,34.633028
follow_doctor,5,2966,37.793068
follow_doctor,.,25,.3175409627841992
info_source_main,1,5559,70.833333
info_source_main,2,386,4.9184506
info_source_main,3,127,1.6182467
info_source_main,4,767,9.7731906
info_source_main,5,250,3.185525
info_source_main,6,759,9.6712538
info_source_main,.,25,.3175409627841992
source_doctor,0,2289,29.166667
source_doctor,1,5559,70.833333
source_doctor,.,25,.3175409627841992
source_sm,0,7462,95.081549
source_sm,1,386,4.9184506
source_sm,.,25,.3175409627841992
source_podcasts,0,7721,98.381753
source_podcasts,1,127,1.6182467
source_podcasts,.,25,.3175409627841992
source_cdc,0,7081,90.226809
source_cdc,1,767,9.7731906
source_cdc,.,25,.3175409627841992
source_news,0,7598,96.814475
source_news,1,250,3.185525
source_news,.,25,.3175409627841992
source_none,0,7089,90.328746
source_none,1,759,9.6712538
source_none,.,25,.3175409627841992
info_doctor,-1,411,5.2370031
info_doctor,1,64,.81549439
info_doctor,2,745,9.4928644
info_doctor,3,3874,49.362895
info_doctor,4,2754,35.091743
info_doctor,.,25,.3175409627841992
info_sm,1,2231,28.427625
info_sm,2,2891,36.837411
info_sm,3,2267,28.88634
info_sm,4,459,5.8486239
info_sm,.,25,.3175409627841992
info_podcasts,1,4314,54.969419
info_podcasts,2,2104,26.809378
info_podcasts,3,1253,15.965851
info_podcasts,4,177,2.2553517
info_podcasts,.,25,.3175409627841992
info_cdc,1,938,11.95209
info_cdc,2,2327,29.650866
info_cdc,3,3695,47.082059
info_cdc,4,888,11.314985
info_cdc,.,25,.3175409627841992
info_news,1,2100,26.75841
info_news,2,2866,36.518858
info_news,3,2500,31.85525
info_news,4,382,4.8674822
info_news,.,25,.3175409627841992
info_university,1,1837,23.407238
info_university,2,2310,29.434251
info_university,3,3066,39.067278
info_university,4,635,8.0912334
info_university,.,25,.3175409627841992
reliable_doctor,1,27,.4073627
reliable_doctor,2,1670,25.196138
reliable_doctor,3,4931,74.3965
reliable_doctor,.,1245,15.81353994665312
reliable_sm,1,407,14.930301
reliable_sm,2,2035,74.651504
reliable_sm,3,284,10.418195
reliable_sm,.,5147,65.37533341801092
reliable_podcasts,1,63,4.4055944
reliable_podcasts,2,1121,78.391608
reliable_podcasts,3,246,17.202797
reliable_podcasts,.,6443,81.83665692874381
reliable_cdc,1,137,2.9893083
reliable_cdc,2,1959,42.744927
reliable_cdc,3,2487,54.265765
reliable_cdc,.,3290,41.7883907024006
reliable_news,1,147,5.1006246
reliable_news,2,2146,74.462179
reliable_news,3,589,20.437196
reliable_news,.,4991,63.39387781023752
reliable_university,1,411,5.2370031
reliable_university,2,3938,50.178389
reliable_university,3,3499,44.584608
reliable_university,.,25,.3175409627841992
incomplete,0,7873,100
pid_mismatch,0,7867,99.92379
pid_mismatch,1,6,.07620983
duplicate_pid,0,7873,100
