study_id,about_flu,about_attitude,about_info,about_beliefs,about_intent,about_change,unclear,understood_intent
1,0,1,1,0,0,1,0,0
2,1,1,0,0,0,0,0,0
3,0,1,0,0,0,0,1,0
4,1,1,0,0,0,0,0,0
6,1,1,0,1,0,0,0,0
9,0,0,0,0,0,0,1,0
11,1,0,1,0,0,0,0,0
12,0,1,1,0,0,0,0,0
16,1,1,0,1,0,0,0,0
23,1,1,0,1,0,0,0,0
24,1,0,0,0,1,1,0,0
26,1,1,0,0,0,0,0,0
29,0,0,0,0,0,0,1,0
43,1,0,1,1,0,1,0,1
45,1,1,1,1,0,0,0,0
50,1,1,0,1,0,0,0,0
52,0,0,0,0,0,0,1,0
54,1,0,1,0,1,1,0,1
55,1,1,0,0,0,0,0,0
58,1,1,0,0,0,0,0,0
61,1,1,0,0,0,0,0,0
67,1,1,1,0,0,0,0,0
68,1,0,1,0,1,1,0,1
69,1,1,0,0,0,0,0,0
70,1,1,0,1,0,0,0,0
75,1,0,0,1,0,0,0,0
78,1,1,0,0,0,0,0,0
81,0,0,0,0,0,0,1,0
85,1,1,0,1,0,0,0,0
87,1,1,0,0,0,0,0,0
88,1,1,1,1,0,1,0,1
89,1,0,1,1,1,1,0,1
90,1,1,1,1,0,1,0,1
92,1,0,0,1,0,1,0,0
97,1,1,0,1,0,0,0,0
99,1,0,1,1,0,1,0,1
102,1,0,0,1,0,0,0,0
106,1,0,0,0,1,0,1,0
107,1,0,1,1,0,1,0,1
108,0,0,0,0,0,0,1,0
111,1,1,0,0,0,0,0,0
116,1,0,0,0,1,1,0,0
117,1,1,0,1,0,0,0,0
119,1,0,1,1,1,0,0,0
124,1,1,0,1,0,0,0,0
126,1,0,0,1,0,0,0,0
129,1,0,0,1,0,0,0,0
130,0,1,1,0,0,1,0,0
131,0,1,0,1,0,0,0,0
133,1,0,0,0,1,1,0,0
134,1,1,0,0,0,0,0,0
135,1,0,1,1,0,1,0,1
137,1,1,0,1,0,0,0,0
138,1,1,0,0,0,0,0,0
139,1,1,0,1,0,0,0,0
143,0,0,1,0,0,1,0,0
