variable,value,n,pct
consent,1,3062,100
incomplete,0,3027,98.856956
incomplete,1,35,1.1430438
failed_attn,0,3062,100
pid_mismatch,0,3038,99.216199
pid_mismatch,1,24,.78380144
duplicate_pid,0,3062,100
is_preview,0,3062,100
pharmacy_factor,1,927,31.692308
pharmacy_factor,2,1577,53.91453
pharmacy_factor,3,339,11.589744
pharmacy_factor,4,54,1.8461538
pharmacy_factor,5,28,.95726496
pharmacy_factor,.,137,4.474199869366427
price_compare,1,621,20.488288
price_compare,2,1696,55.95513
price_compare,3,714,23.556582
price_compare,.,31,1.012410189418681
use_coupons,1,605,19.960409
use_coupons,2,1734,57.208842
use_coupons,3,692,22.830749
use_coupons,.,31,1.012410189418681
got_glp1,0,2823,93.631841
got_glp1,1,192,6.3681592
got_glp1,.,47,1.534944480731548
got_flu_vacc,0,2832,94.023904
got_flu_vacc,1,180,5.9760956
got_flu_vacc,.,50,1.632919660352711
got_covid_vacc,0,2964,98.341075
got_covid_vacc,1,50,1.658925
got_covid_vacc,.,48,1.567602873938602
med_pharmacy_chain,-99,942,30.764206
med_pharmacy_chain,0,21,.68582626
med_pharmacy_chain,1,2099,68.549967
med_grocery,-99,1836,59.96081
med_grocery,0,21,.68582626
med_grocery,1,1205,39.353364
med_independent,-99,2644,86.348792
med_independent,0,21,.68582626
med_independent,1,397,12.965382
med_mail_order,-99,2763,90.23514
med_mail_order,0,21,.68582626
med_mail_order,1,278,9.0790333
med_online,-99,2814,91.900718
med_online,0,21,.68582626
med_online,1,227,7.4134553
med_provider,-99,2329,76.061398
med_provider,0,21,.68582626
med_provider,1,712,23.252776
med_other,-99,3025,98.791639
med_other,0,21,.68582626
med_other,1,16,.52253429
med_none,-99,2930,95.689092
med_none,0,21,.68582626
med_none,1,111,3.6250816
flu_why_already,-99,2733,89.255389
flu_why_already,0,234,7.642064
flu_why_already,1,95,3.1025474
flu_why_side_effects,-99,1665,54.376225
flu_why_side_effects,0,234,7.642064
flu_why_side_effects,1,1163,37.981711
flu_why_bad_flu,-99,2505,81.809275
flu_why_bad_flu,0,234,7.642064
flu_why_bad_flu,1,323,10.548661
flu_why_needles,-99,2367,77.302417
flu_why_needles,0,234,7.642064
flu_why_needles,1,461,15.055519
flu_why_time,-99,2653,86.642717
flu_why_time,0,234,7.642064
flu_why_time,1,175,5.7152188
flu_why_location,-99,2724,88.961463
flu_why_location,0,234,7.642064
flu_why_location,1,104,3.3964729
flu_why_cost,-99,2634,86.022208
flu_why_cost,0,234,7.642064
flu_why_cost,1,194,6.3357283
flu_why_none,-99,1725,56.335728
flu_why_none,0,234,7.642064
flu_why_none,1,1103,36.022208
recall_study,1,761,25.173669
recall_study,2,483,15.977506
recall_study,3,1779,58.848826
recall_study,.,39,1.273677335075114
recall_manufacturer,1,972,38.388626
recall_manufacturer,2,646,25.513428
recall_manufacturer,3,914,36.097946
recall_manufacturer,.,530,17.30894839973873
recall_university,1,1285,50.750395
recall_university,2,339,13.388626
recall_university,3,908,35.860979
recall_university,.,530,17.30894839973873
recall_gavi,1,272,10.742496
recall_gavi,2,1140,45.023697
recall_gavi,3,1120,44.233807
recall_gavi,.,530,17.30894839973873
found_trustworthy,1,856,33.807267
found_trustworthy,2,583,23.025276
found_trustworthy,3,950,37.519747
found_trustworthy,4,143,5.6477093
found_trustworthy,.,530,17.30894839973873
placebo_correct,0,2356,78.481013
placebo_correct,1,646,21.518987
placebo_correct,.,60,1.959503592423253
vaccine_correct,0,2631,87.612388
vaccine_correct,1,372,12.387612
vaccine_correct,.,59,1.926845199216199
