variable,value,n,pct
arm_n,0,885,25.014132
arm_n,1,885,25.014132
arm_n,2,882,24.929339
arm_n,3,886,25.042397
prior_self_placebo,1,745,21.057094
prior_self_placebo,2,1349,38.128886
prior_self_placebo,3,525,14.838892
prior_self_placebo,4,237,6.6986998
prior_self_placebo,5,442,12.492934
prior_self_placebo,6,181,5.1158847
prior_self_placebo,7,59,1.6676088
prior_self_vacc,1,97,2.741662
prior_self_vacc,2,553,15.6303
prior_self_vacc,3,614,17.354438
prior_self_vacc,4,368,10.401357
prior_self_vacc,5,1097,31.006218
prior_self_vacc,6,590,16.676088
prior_self_vacc,7,219,6.1899378
trust_trial,0,196,5.5476932
trust_trial,1,82,2.3209737
trust_trial,2,189,5.3495613
trust_trial,3,231,6.5383527
trust_trial,4,287,8.1234079
trust_trial,5,805,22.785168
trust_trial,6,450,12.737051
trust_trial,7,520,14.71837
trust_trial,8,480,13.586187
trust_trial,9,180,5.0948203
trust_trial,10,113,3.1984149
trust_trial,.,5,.1413227812323347
relevant_trial,0,484,13.699406
relevant_trial,1,153,4.3305972
relevant_trial,2,222,6.2836117
relevant_trial,3,230,6.5100481
relevant_trial,4,213,6.0288706
relevant_trial,5,579,16.388339
relevant_trial,6,387,10.953864
relevant_trial,7,447,12.652137
relevant_trial,8,365,10.331163
relevant_trial,9,232,6.5666572
relevant_trial,10,221,6.2553071
relevant_trial,.,5,.1413227812323347
trust_academic,0,80,4.5325779
trust_academic,1,36,2.0396601
trust_academic,2,58,3.286119
trust_academic,3,75,4.2492918
trust_academic,4,122,6.9121813
trust_academic,5,378,21.416431
trust_academic,6,236,13.371105
trust_academic,7,303,17.167139
trust_academic,8,271,15.354108
trust_academic,9,141,7.9886686
trust_academic,10,65,3.6827195
trust_academic,.,1773,50.11305822498586
relevant_academic,0,275,15.580737
relevant_academic,1,74,4.1926346
relevant_academic,2,102,5.7790368
relevant_academic,3,118,6.6855524
relevant_academic,4,111,6.2889518
relevant_academic,5,262,14.844193
relevant_academic,6,199,11.274788
relevant_academic,7,215,12.181303
relevant_academic,8,208,11.784703
relevant_academic,9,107,6.0623229
relevant_academic,10,94,5.325779
relevant_academic,.,1773,50.11305822498586
vacc_intent,-99,1,.02832861
vacc_intent,1,2203,62.407932
vacc_intent,2,1034,29.291785
vacc_intent,3,225,6.3739377
vacc_intent,4,67,1.898017
vacc_intent,.,8,.2261164499717354
maybe,0,3238,91.728045
maybe,1,292,8.2719547
maybe,.,8,.2261164499717354
first_attempt,1,3538,100
link_click,0,3490,98.643301
link_click,1,48,1.3566987
link1_clicked,0,3514,99.321651
link1_clicked,1,24,.67834935
link2_clicked,0,3517,99.406444
link2_clicked,1,21,.59355568
link3_clicked,0,3521,99.519503
link3_clicked,1,17,.48049746
link4_clicked,0,3527,99.68909
link4_clicked,1,11,.31091012
age,2,1190,33.720601
age,3,1407,39.869651
age,4,778,22.045905
age,5,147,4.165486
age,6,7,.19835647
age,.,9,.2543810062182024
gender,1,1534,43.456091
gender,2,1953,55.325779
gender,3,32,.90651558
gender,4,11,.31161473
gender,.,8,.2261164499717354
education,1,19,.53824363
education,2,518,14.674221
education,3,1174,33.25779
education,4,1289,36.515581
education,5,517,14.645892
education,6,13,.36827195
education,.,8,.2261164499717354
income,1,490,13.88102
income,2,792,22.436261
income,3,743,21.048159
income,4,559,15.835694
income,5,859,24.334278
income,6,87,2.4645892
income,.,8,.2261164499717354
race,1,2653,75.155807
race,2,480,13.597734
race,3,25,.7082153
race,4,207,5.8640227
race,5,6,.16997167
race,6,129,3.6543909
race,7,30,.84985836
race,.,8,.2261164499717354
ethnicity,1,323,9.1501416
ethnicity,2,3181,90.113314
ethnicity,3,26,.73654391
ethnicity,.,8,.2261164499717354
polviews,1,331,9.3767705
polviews,2,621,17.592068
polviews,3,430,12.181303
polviews,4,812,23.002833
polviews,5,397,11.246459
polviews,6,640,18.130312
polviews,7,260,7.3654391
polviews,8,39,1.1048159
polviews,.,8,.2261164499717354
incomplete,0,3526,99.660825
incomplete,1,12,.33917467
failed_attn,0,3538,100
pid_mismatch,0,3536,99.943471
pid_mismatch,1,2,.05652911
duplicate_pid,0,3529,99.745619
duplicate_pid,1,9,.25438101
arm_control,0,2653,74.985868
arm_control,1,885,25.014132
arm_industry,0,2653,74.985868
arm_industry,1,885,25.014132
arm_academic,0,2656,75.070661
arm_academic,1,882,24.929339
arm_personal,0,2652,74.957603
arm_personal,1,886,25.042397
