"Influenza_Season","Start_Date","End_Date","Reporting_TimeFrame","Week_Sort_Order","Current_Season_Week_Ending_Label","Cumulative_Flu_Doses_Distributed","Current_Through"
"2018-2019","2018 Jul 29 12:00:00 AM","2018 Aug 04 12:00:00 AM","2018-07-29 - 2018-08-04","1","2025 Aug 02 12:00:00 AM","0.52","2023 Mar 04 12:00:00 AM"
"2018-2019","2018 Aug 05 12:00:00 AM","2018 Aug 11 12:00:00 AM","2018-08-05 - 2018-08-11","2","2025 Aug 09 12:00:00 AM","3.23","2023 Mar 04 12:00:00 AM"
"2018-2019","2018 Aug 12 12:00:00 AM","2018 Aug 18 12:00:00 AM","2018-08-12 - 2018-08-18","3","2025 Aug 16 12:00:00 AM","10.18","2023 Mar 04 12:00:00 AM"
"2018-2019","2018 Aug 19 12:00:00 AM","2018 Aug 25 12:00:00 AM","2018-08-19 - 2018-08-25","4","2025 Aug 23 12:00:00 AM","19.99","2023 Mar 04 12:00:00 AM"
"2018-2019","2018 Aug 26 12:00:00 AM","2018 Sep 01 12:00:00 AM","2018-08-26 - 2018-09-01","5","2025 Aug 30 12:00:00 AM","37.38","2023 Mar 04 12:00:00 AM"
"2018-2019","2018 Sep 02 12:00:00 AM","2018 Sep 08 12:00:00 AM","2018-09-02 - 2018-09-08","6","2025 Sep 06 12:00:00 AM","52.23","2023 Mar 04 12:00:00 AM"
"2018-2019","2018 Sep 09 12:00:00 AM","2018 Sep 15 12:00:00 AM","2018-09-09 - 2018-09-15","7","2025 Sep 13 12:00:00 AM","70.39","2023 Mar 04 12:00:00 AM"
"2018-2019","2018 Sep 16 12:00:00 AM","2018 Sep 22 12:00:00 AM","2018-09-16 - 2018-09-22","8","2025 Sep 20 12:00:00 AM","87.79","2023 Mar 04 12:00:00 AM"
"2018-2019","2018 Sep 23 12:00:00 AM","2018 Sep 29 12:00:00 AM","2018-09-23 - 2018-09-29","9","2025 Sep 27 12:00:00 AM","104.38","2023 Mar 04 12:00:00 AM"
"2018-2019","2018 Sep 30 12:00:00 AM","2018 Oct 06 12:00:00 AM","2018-09-30 - 2018-10-06","10","2025 Oct 04 12:00:00 AM","118.8","2023 Mar 04 12:00:00 AM"
"2018-2019","2018 Oct 07 12:00:00 AM","2018 Oct 13 12:00:00 AM","2018-10-07 - 2018-10-13","11","2025 Oct 11 12:00:00 AM","132.57","2023 Mar 04 12:00:00 AM"
"2018-2019","2018 Oct 14 12:00:00 AM","2018 Oct 20 12:00:00 AM","2018-10-14 - 2018-10-20","12","2025 Oct 18 12:00:00 AM","143.84","2023 Mar 04 12:00:00 AM"
