Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Authenticity check: QID1322585658,Authenticity check: QID15,Authenticity check: QID18,Authenticity check: QID20,Authenticity check: QID26,Authenticity check: QID31,Authenticity check: QID56,Authenticity check: QID57,Authenticity check: QID58,Authenticity check: QID59
692f026bd286729ee1fe234b,66562875b665d8e2b1b6fc66,APPROVED,Not Applicable,2025-12-02T15:14:55.352000Z,2025-12-02T15:21:13.254000Z,2025-12-02T15:42:32.537000Z,2025-12-02T15:21:13.582424Z,378.0,CRRDOAZR,6455,54,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A
692f0270dfa32e556560bc47,6273088a00cf446a9c9cd8f6,APPROVED,Not Applicable,2025-12-02T15:15:00.133000Z,2025-12-02T15:19:52.847000Z,2025-12-02T15:42:32.869000Z,2025-12-02T15:19:53.176424Z,293.0,CRRDOAZR,10536,46,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Pass,N/A,Pass,N/A,Pass,N/A,Pass,Pass,N/A,N/A
692f027520ed09db993c60f3,5c40134b1580e900012320ab,APPROVED,Not Applicable,2025-12-02T15:18:48.626000Z,2025-12-02T15:23:48.048000Z,2025-12-02T15:42:33.245000Z,2025-12-02T15:23:48.410114Z,300.0,CRRDOAZR,4889,44,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Pass,N/A,Pass,Pass,N/A,N/A,Pass,Pass,N/A,N/A
692f0278081e0a8372f4ddc0,5beb8419aec9ef0001e9d5fb,APPROVED,Not Applicable,2025-12-02T15:15:08.182000Z,2025-12-02T15:16:36.051000Z,2025-12-02T15:42:33.520000Z,2025-12-02T15:16:36.427446Z,88.0,CRRDOAZR,7547,29,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,Full-Time,Pass,Pass,Pass,N/A,N/A,N/A,N/A,Pass,N/A,N/A
692f0282b3ff9b1367b8fe5d,663fa62ae5319431ffed039c,APPROVED,Not Applicable,2025-12-02T15:15:22.118000Z,2025-12-02T15:21:58.691000Z,2025-12-02T15:42:33.806000Z,2025-12-02T15:21:59.161374Z,397.0,CRRDOAZR,2616,40,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Pass,Pass,Pass,N/A,N/A,N/A,Pass,N/A,Pass,N/A
692f02871d987defac48b192,62e031ff72817d69b9ceae0c,APPROVED,Not Applicable,2025-12-02T15:15:22.645000Z,2025-12-02T15:22:57.557000Z,2025-12-02T15:42:34.183000Z,2025-12-02T15:22:57.901183Z,455.0,CRRDOAZR,1764,42,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A
692f0288db66a052812abe0c,5dea6bb7cdb279185b59ea7b,APPROVED,Not Applicable,2025-12-02T15:15:24.909000Z,2025-12-02T15:21:53.276000Z,2025-12-02T15:42:34.483000Z,2025-12-02T15:21:53.636786Z,389.0,CRRDOAZR,1268,33,Female,White,United States,United States,DATA_EXPIRED,English,No,Full-Time,Pass,N/A,Pass,Pass,N/A,N/A,Pass,Pass,N/A,N/A
692f029dafea3d8703f5536d,5ed0091bd374190b9b04045d,APPROVED,Not Applicable,2025-12-02T15:15:45.300000Z,2025-12-02T15:27:27.131000Z,2025-12-02T15:42:34.758000Z,2025-12-02T15:27:27.465051Z,702.0,CRRDOAZR,7599,57,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,N/A,N/A,N/A,N/A,Pass,Pass,Pass,N/A
692f02a7b26e0c11f265e02c,64509bfcd8d8b7e61f801e95,APPROVED,Not Applicable,2025-12-02T15:15:57.626000Z,2025-12-02T15:21:47.238000Z,2025-12-02T15:42:35.029000Z,2025-12-02T15:21:47.725820Z,350.0,CRRDOAZR,6258,60,Female,White,United States,United States,United States,English,No,Full-Time,Pass,N/A,Pass,Pass,N/A,N/A,Pass,Pass,Pass,N/A
692f02d1f8d84a7797968fa2,5f5452df72345118f58d187b,APPROVED,Not Applicable,2025-12-02T15:16:36.507000Z,2025-12-02T15:23:50.348000Z,2025-12-02T15:42:35.307000Z,2025-12-02T15:23:50.716204Z,434.0,CRRDOAZR,13495,61,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Pass,N/A,Pass,N/A,Pass,N/A,Pass,Pass,N/A,N/A
