Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Authenticity check: QID1322585658,Authenticity check: QID15,Authenticity check: QID18,Authenticity check: QID20,Authenticity check: QID26,Authenticity check: QID31,Authenticity check: QID56,Authenticity check: QID57,Authenticity check: QID58,Authenticity check: QID59
69320899a84c6c3a84d2e865,62b5e825a5e8616bde25741d,APPROVED,Not Applicable,2025-12-04T22:18:07.298000Z,2025-12-04T22:23:54.125000Z,2025-12-04T22:23:55.705000Z,2025-12-04T22:23:54.490093Z,347.0,CRRDOAZR,5478,35,Female,Mixed,United States,United States,United States,English,No,Full-Time,Pass,N/A,Pass,N/A,Pass,N/A,Pass,Pass,Pass,N/A
693208ec7c879ead01940534,66621dc2ec23614444716d2c,APPROVED,Not Applicable,2025-12-04T22:19:28.191000Z,2025-12-04T22:26:04.191000Z,2025-12-04T22:26:05.413000Z,2025-12-04T22:26:04.575162Z,396.0,CRRDOAZR,1805,29,Female,Asian,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A
693208ee954d4b455c619016,633b82ab54af035c569082fb,APPROVED,Not Applicable,2025-12-04T22:19:30.106000Z,2025-12-04T22:21:14.196000Z,2025-12-05T13:19:33.734000Z,2025-12-04T22:21:14.541336Z,105.0,CRRDOAZR,3028,24,Male,White,United States,United States,United States,English,No,Part-Time,Pass,N/A,N/A,N/A,N/A,N/A,Pass,N/A,N/A,N/A
693208fa392ac7e0da7df917,574dc90512d86b000f833ab0,APPROVED,Not Applicable,2025-12-04T22:28:51.929000Z,2025-12-04T22:34:20.148000Z,2025-12-04T22:34:21.435000Z,2025-12-04T22:34:20.487802Z,329.0,CRRDOAZR,7887,39,Male,White,United States,United States,United States,English,No,Full-Time,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,Pass,N/A
6932090286864e53966a45b5,63d1c79ff86ec609af6f77ad,APPROVED,Not Applicable,2025-12-04T22:19:46.369000Z,2025-12-04T22:42:30.045000Z,2025-12-04T22:42:30.574000Z,2025-12-04T22:42:30.477648Z,1364.0,CRRDOAZR,777,25,Male,Mixed,United States,United States,United States,Spanish,Yes,Unemployed (and job seeking),Pass,N/A,Pass,Pass,N/A,N/A,Pass,Pass,N/A,N/A
69320904ea6fe8710d292891,63f78071721a6cacdd63d835,APPROVED,Not Applicable,2025-12-04T22:19:52.567000Z,2025-12-04T22:24:10.894000Z,2025-12-04T22:24:13.705000Z,2025-12-04T22:24:11.248574Z,259.0,CRRDOAZR,4716,23,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Pass,N/A,Pass,Pass,N/A,N/A,Pass,Pass,N/A,N/A
693209090a5e4da52a19e297,673d25851173193daa4771ca,APPROVED,Not Applicable,2025-12-04T22:19:57.243000Z,2025-12-04T22:24:49.081000Z,2025-12-04T22:24:52.357000Z,2025-12-04T22:24:49.503391Z,292.0,CRRDOAZR,1025,31,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Pass,N/A,Pass,N/A,Pass,N/A,Pass,Pass,N/A,N/A
6932090f99ad33ce282cf11a,659615bbb34696ca92b045c6,APPROVED,Not Applicable,2025-12-04T22:24:50.257000Z,2025-12-04T22:42:46.411000Z,2025-12-04T22:42:48.860000Z,2025-12-04T22:42:46.760743Z,1077.0,CRRDOAZR,1206,29,Female,Black,United States,United States,United States,English,No,Full-Time,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A
6932092e523898c6a9590791,6631997e0554bb6d25062fd4,APPROVED,Not Applicable,2025-12-04T22:20:30.288000Z,2025-12-04T22:32:02.372000Z,2025-12-04T22:32:04.027000Z,2025-12-04T22:32:02.723271Z,693.0,CRRDOAZR,2595,26,Male,White,United States,United States,United States,English,No,Other,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,N/A,N/A
6932092e715b08242107ce6e,628a4816764d2f993ee7493d,APPROVED,Not Applicable,2025-12-04T22:20:36.513000Z,2025-12-04T22:25:57.166000Z,2025-12-04T22:25:57.759000Z,2025-12-04T22:25:57.558242Z,321.0,CRRDOAZR,4183,59,Male,Black,United States,United States,United States,English,No,Full-Time,Pass,Pass,Pass,N/A,N/A,N/A,Pass,Pass,Pass,N/A
6932095faa075dd475d2fd92,63d7fb6ee49281f6c41d6630,APPROVED,Not Applicable,2025-12-04T22:21:25.755000Z,2025-12-04T22:24:29.406000Z,2025-12-04T22:24:29.926000Z,2025-12-04T22:24:29.835498Z,184.0,CRRDOAZR,5167,30,Male,White,United States,United States,United States,English,No,Full-Time,Pass,Pass,Pass,N/A,N/A,N/A,Pass,Pass,N/A,Pass
6932098d5291433066c1c3e3,596bac33670f410001fe9c07,APPROVED,Not Applicable,2025-12-04T22:22:08.937000Z,2025-12-04T22:26:52.583000Z,2025-12-04T22:26:54.242000Z,2025-12-04T22:26:52.957756Z,284.0,CRRDOAZR,5930,32,Female,White,United States,United States,United States,English,No,Part-Time,Pass,N/A,Pass,Pass,N/A,N/A,Pass,Pass,N/A,N/A
6932099d365bb56dc9d90263,5dfa56fddc265f7ac3bee209,APPROVED,Not Applicable,2025-12-04T22:22:25.801000Z,2025-12-04T22:27:13.958000Z,2025-12-04T22:27:16.755000Z,2025-12-04T22:27:14.312286Z,289.0,CRRDOAZR,4799,47,Female,White,United States,United States,United States,English,No,Full-Time,Pass,N/A,Pass,N/A,Pass,N/A,Pass,Pass,Pass,N/A
693209ab8444dd834d4ac9ec,6689ea627c15ef8634f1d3af,APPROVED,Not Applicable,2025-12-04T22:22:41.458000Z,2025-12-04T22:28:08.120000Z,2025-12-04T22:28:08.569000Z,2025-12-04T22:28:08.482948Z,327.0,CRRDOAZR,1330,23,Male,White,United States,United States,United States,English,Yes,Full-Time,Pass,N/A,Pass,N/A,N/A,Pass,Pass,Pass,Pass,N/A
693209bc018fd57104812e3b,5f6e71f3b273c13b726f3622,APPROVED,Not Applicable,2025-12-04T22:23:01.286000Z,2025-12-04T22:26:37.821000Z,2025-12-04T22:26:38.264000Z,2025-12-04T22:26:38.174435Z,217.0,CRRDOAZR,6210,38,Female,White,United States,United States,United States,English,No,Full-Time,Pass,N/A,Pass,N/A,N/A,N/A,Pass,N/A,N/A,N/A
693209dfcc5e84e02500edb3,5fc2a5c0ddfca10169395662,APPROVED,Not Applicable,2025-12-04T22:23:40.135000Z,2025-12-04T22:31:33.726000Z,2025-12-04T22:31:36.604000Z,2025-12-04T22:31:34.077705Z,474.0,CRRDOAZR,4222,43,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Pass,N/A,Pass,Pass,N/A,N/A,Pass,Pass,Pass,N/A
693209fec780181967791daa,5c40e7d99d27f00001159a65,APPROVED,Not Applicable,2025-12-04T22:24:02.135000Z,2025-12-04T22:29:58.986000Z,2025-12-04T22:29:59.433000Z,2025-12-04T22:29:59.347280Z,357.0,CRRDOAZR,9292,44,Male,White,United States,United States,United States,English,No,Full-Time,Pass,N/A,Pass,Pass,N/A,N/A,N/A,Pass,N/A,N/A
69320a244eaf0bc98982e629,6773ee0bc558767d380509bd,APPROVED,Not Applicable,2025-12-04T22:24:40.761000Z,2025-12-04T22:28:52.446000Z,2025-12-04T22:28:55.945000Z,2025-12-04T22:28:52.863706Z,252.0,CRRDOAZR,815,30,Female,White,United States,United States,United States,English,No,Full-Time,Pass,N/A,Pass,N/A,Pass,N/A,Pass,Pass,N/A,N/A
69320a6c6414e1caef2b5740,5a4bf09053a4560001ba0ebf,APPROVED,Not Applicable,2025-12-04T22:25:50.756000Z,2025-12-04T22:31:47.936000Z,2025-12-04T22:31:51.081000Z,2025-12-04T22:31:48.303838Z,358.0,CRRDOAZR,12458,38,Male,White,United States,United States,United States,English,No,Full-Time,Pass,Pass,Pass,N/A,N/A,N/A,Pass,Pass,N/A,N/A
